date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:21:17	38622/38622	---M--	200	added ('OK')	image/jpeg	etag:%22adcebf130fb362af66c9c36ed0167bb6-ssl%22	https://watson-vcard.netlify.app/img/portfolio/img-9.jpg	C:/Users/ADMIN/Desktop/New%20folder/themee/watson-vcard.netlify.app/img/portfolio/img-9.jpg	(from https://watson-vcard.netlify.app/index-dark.html)
20:21:18	61459/61459	---M--	200	added ('OK')	image/jpeg	etag:%22f81183993f4bf8f7fc557d63b2671037-ssl%22	https://watson-vcard.netlify.app/img/portfolio/img-10.jpg	C:/Users/ADMIN/Desktop/New%20folder/themee/watson-vcard.netlify.app/img/portfolio/img-10.jpg	(from https://watson-vcard.netlify.app/index-dark.html)
20:21:19	15527/15527	---M--	200	added ('OK')	image/jpeg	etag:%227c3f87f85ff56408723041501f553769-ssl%22	https://watson-vcard.netlify.app/img/portfolio/img-11.jpg	C:/Users/ADMIN/Desktop/New%20folder/themee/watson-vcard.netlify.app/img/portfolio/img-11.jpg	(from https://watson-vcard.netlify.app/index-dark.html)
20:21:20	13702/13702	---M-Z	200	added ('OK')	text/html	etag:%22969820c3b7d21e56c3ecb44f0a8dd7a2-ssl-df%22	https://watson-vcard.netlify.app/blog-dark.html	C:/Users/ADMIN/Desktop/New%20folder/themee/watson-vcard.netlify.app/blog-dark.html	(from https://watson-vcard.netlify.app/index-dark.html)
20:21:21	37433/37433	---M--	200	added ('OK')	image/jpeg	etag:%22bfa6f2e1ee67f4690a5e6baede61cd19-ssl%22	https://watson-vcard.netlify.app/img/blog/img-1.jpg	C:/Users/ADMIN/Desktop/New%20folder/themee/watson-vcard.netlify.app/img/blog/img-1.jpg	(from https://watson-vcard.netlify.app/index-dark.html)
20:21:22	47663/47663	---M--	200	added ('OK')	image/jpeg	etag:%22a2d75175e0a47d48513c0a8066021530-ssl%22	https://watson-vcard.netlify.app/img/blog/img-2.jpg	C:/Users/ADMIN/Desktop/New%20folder/themee/watson-vcard.netlify.app/img/blog/img-2.jpg	(from https://watson-vcard.netlify.app/index-dark.html)
20:21:22	38948/38948	---M--	200	added ('OK')	image/jpeg	etag:%22be190ae3d6c76dc9e36005f62eb81aa5-ssl%22	https://watson-vcard.netlify.app/img/blog/img-3.jpg	C:/Users/ADMIN/Desktop/New%20folder/themee/watson-vcard.netlify.app/img/blog/img-3.jpg	(from https://watson-vcard.netlify.app/index-dark.html)
20:21:23	55636/55636	---M--	200	added ('OK')	image/jpeg	etag:%223b3fc527b81b55fecafbda97bfd33a55-ssl%22	https://watson-vcard.netlify.app/img/blog/img-4.jpg	C:/Users/ADMIN/Desktop/New%20folder/themee/watson-vcard.netlify.app/img/blog/img-4.jpg	(from https://watson-vcard.netlify.app/index-dark.html)
20:21:24	49797/49797	---M--	200	added ('OK')	image/jpeg	etag:%22e940108e400367ec3800b5d3a59506aa-ssl%22	https://watson-vcard.netlify.app/img/blog/img-5.jpg	C:/Users/ADMIN/Desktop/New%20folder/themee/watson-vcard.netlify.app/img/blog/img-5.jpg	(from https://watson-vcard.netlify.app/index-dark.html)
20:21:24	45088/45088	---M--	200	added ('OK')	image/jpeg	etag:%22911bb609f53bf69ec5689a1dbdc4b384-ssl%22	https://watson-vcard.netlify.app/img/blog/img-6.jpg	C:/Users/ADMIN/Desktop/New%20folder/themee/watson-vcard.netlify.app/img/blog/img-6.jpg	(from https://watson-vcard.netlify.app/index-dark.html)
